latitude, longitude,alt
45.63208,-122.252483333,0.457956025
45.63208,-122.252483333,2.978823466
45.63208,-122.252483333,5.193204273
45.63208,-122.252483333,7.151214494
45.63208,-122.252483333,10.114336271
45.63208,-122.252483333,11.980556905
45.63208,-122.252483333,14.163334127
45.63208,-122.252483333,16.152449071
45.63208,-122.252483333,18.970943241
45.63208,-122.252483333,20.971331475
45.63208,-122.252483333,23.156568941
45.63208,-122.252483333,25.368329371
45.63208,-122.252483333,27.973578137
45.63208,-122.252483333,30.187345123
45.63208,-122.252483333,32.167005627
45.63208,-122.252483333,35.118025161
45.63208,-122.252483333,36.972796611
45.63208,-122.252483333,39.156266132
45.63208,-122.252483333,41.16514593
45.63208,-122.252483333,43.975721514
45.63208,-122.252483333,45.982159709
45.63208,-122.252483333,48.155442389
45.63208,-122.252483333,50.41260493
45.63208,-122.252483333,52.979867143
45.63208,-122.252483333,55.229753398
45.63208,-122.252483333,57.155605164
45.63208,-122.252483333,60.145341596
45.63208,-122.252483333,61.985503716
45.63208,-122.252483333,64.158958913
45.63208,-122.252483333,66.166449342
45.63208,-122.252483333,68.96255585
45.63208,-122.252483333,70.974611366
45.63208,-122.252485,73.157137448
45.63208,-122.252485,75.415356315
45.63208,-122.252485,77.982745925
45.63208,-122.252485,80.233439778
45.63208,-122.252485,82.156252835
45.63208,-122.252485,85.142876381
45.63208,-122.252485,86.983745788
45.63208,-122.252485,89.167497854
45.63208,-122.252485,91.155555224
45.63208,-122.252485,93.975265283
45.63208,-122.252485,95.984207348
45.63208,-122.252486667,98.15668318
45.63208,-122.252486667,100.413961448
45.63208,-122.252486667,102.976611827
45.63208,-122.252485,105.216467813
45.63208,-122.252485,107.157934329
45.63208,-122.252485,110.150689941
45.63208,-122.252485,111.982529798
45.63208,-122.252485,114.159033361
45.63208,-122.252486667,116.160679568
45.63208,-122.252486667,118.965286602
45.63208,-122.252486667,120.972023678
45.63208,-122.252486667,123.153638819
45.63208,-122.252486667,125.40280507
45.63208,-122.252486667,127.961172944
45.63208,-122.252486667,130.203621916
45.63208,-122.252486667,132.151078044
45.63208,-122.252486667,135.133608873
45.63208,-122.252486667,136.958864001
45.63208,-122.252486667,139.144926436
45.63208,-122.252486667,141.149311089
45.63208,-122.252486667,143.962665716
45.63208,-122.252486667,145.963743457
45.63208,-122.252486667,148.138576041
45.63208,-122.252486667,150.392720707
45.63208,-122.252486667,152.961567562
45.63208,-122.252486667,155.190631679
45.63208,-122.252486667,157.132461564
45.63208,-122.252486667,160.124291282
45.63208,-122.252486667,161.960239989
45.63208,-122.252486667,164.144792638
45.63208,-122.252486667,166.134760299
45.63208,-122.252486667,168.950778856
45.63208,-122.252486667,170.956950964
45.63208,-122.252486667,173.131875766
45.632078333,-122.252486667,175.374144117
